user_id,group,day,clicked,dwell_time_sec,bounced,click_position
58,control,8,1,98.1,0,2.0
59,control,5,0,0.0,0,
59,control,21,1,36.2,0,2.0
59,control,12,1,149.5,0,1.0
60,control,2,1,7.7,0,2.0
60,control,21,0,0.0,1,
60,control,13,0,0.0,0,
61,control,15,0,0.0,0,
61,control,2,1,272.5,0,2.0
62,control,9,1,136.6,0,2.0
62,control,20,1,164.5,1,1.0
62,control,1,1,229.8,0,3.0
63,control,1,1,229.3,0,1.0
63,control,19,0,0.0,0,
63,control,10,0,0.0,0,
64,control,10,0,0.0,0,
64,control,21,0,0.0,1,
65,control,3,0,0.0,0,
66,treatment,21,0,0.0,0,
67,treatment,8,1,137.4,0,1.0
67,treatment,15,0,0.0,0,
68,control,11,0,0.0,1,
68,control,6,0,0.0,0,
68,control,6,1,167.9,1,1.0
69,treatment,7,1,213.1,0,3.0
70,treatment,18,1,220.8,0,1.0
70,treatment,10,0,0.0,0,
70,treatment,20,1,214.5,0,1.0
71,treatment,16,0,0.0,1,
71,treatment,1,1,172.4,0,5.0
72,treatment,19,1,210.2,0,4.0
73,control,4,0,0.0,1,
73,control,2,1,197.5,1,5.0
74,treatment,10,1,292.0,1,2.0
74,treatment,2,1,254.6,0,3.0
75,control,1,0,0.0,1,
76,treatment,9,1,129.3,0,1.0
77,treatment,13,1,213.2,0,3.0
77,treatment,4,0,0.0,0,
78,treatment,19,1,208.3,0,3.0
79,control,4,0,0.0,0,
79,control,10,0,0.0,1,
79,control,9,0,0.0,0,
80,treatment,7,0,0.0,0,
80,treatment,1,1,127.0,0,4.0
80,treatment,7,1,294.7,0,1.0
81,control,16,1,178.5,0,2.0
81,control,16,0,0.0,1,
81,control,19,0,0.0,0,
82,treatment,21,1,170.8,0,1.0
83,control,2,1,135.5,1,2.0
83,control,7,0,0.0,0,
84,treatment,16,1,166.3,0,1.0
85,control,14,1,84.7,1,3.0
85,control,15,1,95.8,1,4.0
86,control,7,0,0.0,0,
87,treatment,17,1,135.9,0,4.0
88,control,13,0,0.0,0,
89,treatment,9,1,99.9,1,2.0
89,treatment,4,0,0.0,0,
90,treatment,16,0,0.0,1,
90,treatment,18,0,0.0,0,
90,treatment,13,0,0.0,1,
91,treatment,16,0,0.0,0,
91,treatment,4,1,114.6,0,1.0
92,treatment,12,0,0.0,1,
92,treatment,13,0,0.0,0,
93,treatment,3,1,228.5,0,1.0
93,treatment,2,0,0.0,0,
94,treatment,19,1,144.9,1,3.0
95,treatment,2,1,223.5,0,3.0
96,treatment,10,0,0.0,0,
96,treatment,11,1,188.2,1,1.0
97,treatment,6,0,0.0,0,
97,treatment,3,1,163.3,1,2.0
97,treatment,10,0,0.0,0,
98,treatment,7,0,0.0,0,
98,treatment,4,1,257.5,0,4.0
98,treatment,18,1,205.1,1,5.0
99,treatment,20,0,0.0,0,
99,treatment,11,0,0.0,0,
99,treatment,8,0,0.0,0,
100,control,18,0,0.0,0,
100,control,9,0,0.0,1,
100,control,1,0,0.0,1,
101,control,12,0,0.0,0,
101,control,21,1,82.6,0,1.0
102,treatment,1,1,186.9,0,4.0
103,treatment,7,1,164.6,0,1.0
104,treatment,17,0,0.0,1,
104,treatment,10,0,0.0,0,
105,treatment,17,1,196.9,0,5.0
105,treatment,7,0,0.0,0,
106,treatment,16,1,169.6,0,2.0
106,treatment,9,1,165.0,0,3.0
106,treatment,2,0,0.0,0,
107,treatment,3,1,173.4,1,2.0
107,treatment,16,0,0.0,0,
108,treatment,7,1,169.3,1,1.0
108,treatment,18,1,69.2,0,1.0
109,treatment,4,0,0.0,1,
109,treatment,3,0,0.0,0,
109,treatment,10,0,0.0,0,
110,control,19,0,0.0,0,
111,treatment,19,1,198.7,1,2.0
111,treatment,21,0,0.0,0,
112,control,6,1,96.9,0,1.0
112,control,17,1,179.4,0,4.0
113,treatment,5,1,212.9,1,1.0
113,treatment,17,1,193.8,0,1.0
114,treatment,2,0,0.0,0,
115,control,7,1,147.1,0,5.0
115,control,21,0,0.0,0,
116,treatment,20,0,0.0,0,
116,treatment,6,1,189.1,1,1.0
117,control,19,1,229.3,1,2.0
118,treatment,13,1,197.4,1,1.0
118,treatment,8,0,0.0,0,
118,treatment,18,0,0.0,1,
119,treatment,13,1,125.9,1,4.0
120,control,16,1,173.5,0,2.0
120,control,18,1,110.3,0,1.0
121,treatment,10,0,0.0,0,
122,control,4,1,138.0,0,3.0
122,control,21,0,0.0,0,
122,control,21,1,88.2,0,5.0
123,treatment,20,0,0.0,1,
123,treatment,13,0,0.0,0,
124,control,7,1,190.8,1,4.0
125,control,3,1,158.3,0,2.0
125,control,10,0,0.0,1,
126,treatment,16,1,66.5,0,1.0
126,treatment,16,0,0.0,0,
126,treatment,17,0,0.0,0,
127,treatment,9,1,156.9,0,2.0
128,control,21,0,0.0,0,
129,treatment,7,1,96.7,0,1.0
129,treatment,14,0,0.0,0,
130,treatment,10,1,198.0,0,1.0
130,treatment,16,1,274.4,0,1.0
130,treatment,14,1,213.5,0,2.0
131,treatment,10,1,166.9,0,3.0
131,treatment,17,0,0.0,0,
132,control,19,0,0.0,0,
132,control,5,0,0.0,1,
132,control,11,0,0.0,0,
133,control,20,0,0.0,1,
133,control,19,0,0.0,0,
133,control,8,1,140.0,1,1.0
134,control,14,0,0.0,0,
134,control,3,0,0.0,1,
135,control,21,1,271.2,0,3.0
135,control,15,0,0.0,1,
135,control,20,0,0.0,0,
136,control,5,0,0.0,0,
137,control,19,1,153.6,0,1.0
138,control,17,0,0.0,1,
138,control,2,1,39.3,1,2.0
138,control,7,0,0.0,0,
139,control,17,0,0.0,0,
139,control,6,0,0.0,0,
140,control,2,1,197.1,0,2.0
140,control,1,1,153.2,0,3.0
141,treatment,18,1,238.3,1,2.0
141,treatment,13,0,0.0,0,
142,control,1,1,126.5,0,1.0
143,treatment,7,0,0.0,0,
143,treatment,7,1,118.9,0,1.0
144,treatment,18,1,5.0,0,1.0
144,treatment,15,1,285.3,1,2.0
145,treatment,8,0,0.0,1,
145,treatment,7,1,279.8,1,2.0
145,treatment,16,1,198.3,0,1.0
146,control,19,1,91.4,0,1.0
147,control,21,1,77.6,1,4.0
147,control,19,1,150.2,1,1.0
147,control,8,1,223.8,1,3.0
148,control,2,0,0.0,1,
148,control,12,1,105.6,1,1.0
148,control,8,1,69.9,0,1.0
149,control,8,0,0.0,0,
150,treatment,10,1,160.9,1,1.0
151,control,3,0,0.0,0,
151,control,2,0,0.0,1,
152,control,11,1,88.2,0,2.0
152,control,5,0,0.0,0,
152,control,15,1,173.4,1,1.0
153,control,1,1,16.8,1,2.0
154,control,5,0,0.0,0,
155,control,13,1,109.9,0,5.0
156,treatment,11,1,166.5,0,1.0
156,treatment,11,1,147.7,0,1.0
156,treatment,1,1,84.1,0,1.0
157,control,13,1,219.6,1,4.0
157,control,11,1,180.8,0,5.0
157,control,7,0,0.0,0,
158,treatment,7,0,0.0,1,
158,treatment,8,0,0.0,1,
158,treatment,13,0,0.0,0,
159,control,2,0,0.0,0,
160,treatment,15,1,257.3,0,1.0
160,treatment,8,0,0.0,0,
160,treatment,13,0,0.0,0,
161,control,16,0,0.0,0,
162,control,11,0,0.0,0,
163,treatment,7,0,0.0,0,
163,treatment,13,1,180.9,1,1.0
163,treatment,8,1,229.7,1,1.0
164,treatment,16,1,244.3,1,1.0
164,treatment,18,0,0.0,0,
165,treatment,8,1,222.6,0,1.0
165,treatment,12,1,181.2,0,1.0
165,treatment,16,1,188.6,0,5.0
166,control,20,0,0.0,0,
166,control,5,1,163.6,1,1.0
166,control,20,1,242.6,0,2.0
167,treatment,16,0,0.0,0,
168,control,20,0,0.0,0,
168,control,18,1,155.1,0,2.0
168,control,12,1,187.6,0,2.0
169,control,6,1,133.4,1,3.0
169,control,17,1,263.8,1,1.0
169,control,17,1,142.6,1,4.0
170,treatment,6,0,0.0,0,
170,treatment,2,0,0.0,0,
171,treatment,12,1,151.2,0,1.0
171,treatment,6,1,332.4,0,1.0
172,control,7,0,0.0,0,
172,control,13,0,0.0,0,
172,control,1,0,0.0,0,
173,control,7,0,0.0,1,
173,control,7,0,0.0,0,
173,control,11,0,0.0,1,
174,treatment,13,0,0.0,0,
175,treatment,16,0,0.0,0,
175,treatment,11,1,215.0,0,5.0
175,treatment,11,0,0.0,0,
176,treatment,2,0,0.0,0,
177,control,17,1,123.0,1,1.0
178,control,5,1,197.9,1,2.0
179,control,4,0,0.0,1,
179,control,5,0,0.0,0,
179,control,9,0,0.0,0,
180,control,6,0,0.0,0,
180,control,1,0,0.0,0,
180,control,1,0,0.0,1,
181,control,17,0,0.0,1,
181,control,5,1,79.4,0,2.0
182,control,5,0,0.0,1,
182,control,21,1,71.9,0,1.0
183,treatment,4,0,0.0,1,
183,treatment,14,0,0.0,0,
184,control,19,1,38.8,1,1.0
184,control,18,0,0.0,0,
184,control,13,0,0.0,0,
185,control,14,0,0.0,0,
185,control,17,1,114.8,0,5.0
185,control,17,0,0.0,0,
186,control,20,0,0.0,0,
186,control,2,0,0.0,0,
186,control,6,1,129.1,1,1.0
187,treatment,13,1,201.3,0,2.0
187,treatment,15,1,300.9,0,1.0
187,treatment,6,1,259.2,0,3.0
188,control,12,1,160.2,1,2.0
188,control,20,1,145.4,0,1.0
188,control,10,0,0.0,1,
189,control,11,0,0.0,1,
189,control,11,0,0.0,1,
189,control,10,0,0.0,1,
190,treatment,7,1,134.7,0,1.0
190,treatment,2,1,88.4,0,1.0
191,control,1,1,119.8,0,1.0
191,control,20,1,122.5,1,1.0
191,control,1,0,0.0,0,
192,control,4,0,0.0,0,
192,control,13,1,137.5,0,4.0
193,control,16,0,0.0,1,
193,control,11,1,216.8,0,1.0
194,control,11,0,0.0,1,
195,control,14,0,0.0,0,
195,control,10,1,84.4,1,1.0
196,treatment,10,1,274.4,0,1.0
196,treatment,2,0,0.0,1,
197,treatment,19,0,0.0,1,
198,treatment,9,1,207.4,0,1.0
199,control,9,0,0.0,1,
199,control,15,0,0.0,0,
199,control,1,1,168.5,0,2.0
200,control,8,0,0.0,1,
200,control,15,0,0.0,0,
201,control,10,0,0.0,0,
202,treatment,13,1,209.3,0,4.0
203,control,19,1,208.5,1,4.0
204,control,15,1,173.1,0,1.0
205,treatment,9,0,0.0,0,
205,treatment,12,1,195.4,1,1.0
206,control,1,0,0.0,0,
207,treatment,2,0,0.0,1,
207,treatment,14,1,251.6,0,1.0
207,treatment,4,1,200.2,0,1.0
208,treatment,10,1,234.9,0,2.0
208,treatment,7,1,217.2,0,2.0
209,treatment,9,0,0.0,1,
209,treatment,1,0,0.0,1,
210,control,20,0,0.0,0,
210,control,16,0,0.0,0,
211,control,16,0,0.0,0,
211,control,2,0,0.0,0,
211,control,10,0,0.0,0,
212,control,17,1,5.0,0,1.0
212,control,18,1,143.3,0,1.0
212,control,3,1,236.5,0,2.0
213,control,10,1,186.5,0,1.0
213,control,12,1,116.6,0,4.0
213,control,15,0,0.0,1,
214,control,5,0,0.0,0,
214,control,11,0,0.0,1,
215,control,18,0,0.0,0,
216,control,9,0,0.0,1,
216,control,4,0,0.0,0,
217,treatment,15,0,0.0,1,
217,treatment,19,1,245.5,0,4.0
218,control,19,1,61.4,0,1.0
218,control,15,0,0.0,0,
218,control,16,0,0.0,0,
219,treatment,13,0,0.0,0,
220,control,8,0,0.0,0,
220,control,6,0,0.0,1,
221,control,9,0,0.0,0,
222,control,10,0,0.0,1,
222,control,12,0,0.0,0,
222,control,2,1,5.0,1,3.0
223,treatment,8,1,267.5,0,1.0
224,treatment,19,0,0.0,0,
224,treatment,3,1,205.1,0,1.0
224,treatment,5,1,201.6,1,2.0
225,treatment,11,0,0.0,0,
225,treatment,12,0,0.0,0,
226,treatment,21,0,0.0,1,
226,treatment,11,1,282.3,0,2.0
226,treatment,6,0,0.0,0,
227,control,19,0,0.0,0,
227,control,13,0,0.0,1,
228,treatment,13,0,0.0,1,
228,treatment,16,1,113.5,0,3.0
229,control,13,1,169.1,0,2.0
229,control,20,0,0.0,0,
230,control,17,1,137.9,1,2.0
231,treatment,12,0,0.0,0,
232,treatment,14,0,0.0,1,
232,treatment,15,1,205.9,0,1.0
233,treatment,12,1,103.5,0,3.0
233,treatment,19,1,224.1,1,3.0
234,treatment,5,1,183.7,0,1.0
234,treatment,16,0,0.0,1,
234,treatment,1,1,288.0,1,1.0
235,treatment,1,1,231.5,0,3.0
235,treatment,7,0,0.0,0,
235,treatment,15,1,139.9,1,1.0
236,treatment,21,1,133.1,1,1.0
236,treatment,20,1,127.8,1,2.0
237,treatment,13,1,245.8,0,2.0
237,treatment,4,1,143.5,0,1.0
237,treatment,11,0,0.0,0,
238,treatment,20,1,226.8,0,1.0
239,control,18,1,237.1,0,1.0
240,treatment,8,0,0.0,0,
241,treatment,9,1,135.6,0,3.0
241,treatment,14,0,0.0,0,
241,treatment,16,1,149.9,0,1.0
242,control,19,0,0.0,0,
242,control,10,0,0.0,0,
242,control,4,1,47.2,0,4.0
243,treatment,1,0,0.0,0,
243,treatment,20,1,311.3,0,2.0
243,treatment,15,1,166.0,1,1.0
244,control,17,0,0.0,0,
245,control,18,1,141.2,1,2.0
246,treatment,7,0,0.0,0,
247,control,18,1,31.6,0,3.0
247,control,12,1,161.0,0,4.0
247,control,8,1,125.1,1,2.0
248,control,1,0,0.0,0,
248,control,18,1,130.8,1,1.0
249,control,10,1,43.2,0,5.0
249,control,9,0,0.0,1,
250,control,21,1,162.3,1,3.0
251,treatment,13,1,173.3,0,2.0
251,treatment,21,0,0.0,0,
252,control,19,0,0.0,0,
252,control,20,0,0.0,1,
253,treatment,18,0,0.0,0,
253,treatment,9,0,0.0,0,
254,control,6,1,179.2,1,1.0
254,control,21,1,133.9,0,2.0
254,control,14,1,150.4,0,2.0
255,control,4,0,0.0,1,
256,control,2,0,0.0,0,
256,control,8,1,61.3,0,2.0
256,control,16,1,84.9,1,5.0
257,control,19,0,0.0,0,
257,control,10,0,0.0,1,
258,treatment,5,1,187.4,0,1.0
258,treatment,7,1,147.9,0,1.0
258,treatment,4,1,134.6,0,1.0
259,treatment,15,0,0.0,0,
259,treatment,11,1,188.8,0,1.0
259,treatment,11,1,247.8,0,1.0
260,control,3,1,180.1,1,3.0
261,control,4,1,110.2,0,1.0
261,control,7,1,173.7,1,4.0
261,control,18,1,124.5,0,1.0
262,treatment,4,0,0.0,1,
263,control,13,1,209.8,0,1.0
264,control,5,0,0.0,0,
264,control,14,0,0.0,1,
264,control,4,0,0.0,0,
265,control,16,0,0.0,1,
265,control,21,0,0.0,1,
266,treatment,1,0,0.0,0,
266,treatment,1,1,147.1,1,3.0
266,treatment,16,1,157.0,0,1.0
267,treatment,10,0,0.0,0,
267,treatment,11,1,192.1,0,1.0
268,treatment,4,1,148.0,0,2.0
268,treatment,18,0,0.0,0,
269,control,10,1,162.7,0,1.0
269,control,6,1,154.7,0,1.0
270,control,12,1,170.7,0,3.0
271,treatment,19,1,221.9,0,2.0
271,treatment,9,1,129.8,0,1.0
272,treatment,10,0,0.0,1,
273,treatment,11,0,0.0,0,
273,treatment,17,1,160.2,0,2.0
273,treatment,19,0,0.0,0,
274,treatment,4,1,78.1,1,1.0
274,treatment,19,0,0.0,1,
274,treatment,1,0,0.0,0,
275,control,17,1,157.6,0,1.0
275,control,2,0,0.0,0,
276,treatment,10,1,172.6,0,1.0
276,treatment,20,1,248.8,0,3.0
277,control,2,1,218.6,0,1.0
278,treatment,1,1,155.9,0,2.0
278,treatment,14,1,192.7,0,1.0
278,treatment,6,0,0.0,0,
279,control,12,1,46.9,0,3.0
280,treatment,17,1,107.8,0,1.0
280,treatment,1,0,0.0,0,
281,treatment,11,1,126.6,0,1.0
281,treatment,21,1,217.7,0,1.0
282,treatment,10,0,0.0,0,
282,treatment,18,1,163.3,1,3.0
282,treatment,3,1,102.7,0,1.0
283,treatment,4,1,214.4,1,1.0
284,control,11,0,0.0,1,
285,treatment,3,0,0.0,0,
285,treatment,15,1,207.3,1,5.0
286,control,19,1,170.8,0,4.0
286,control,1,0,0.0,1,
287,control,19,1,214.7,0,4.0
287,control,6,0,0.0,0,
287,control,16,0,0.0,0,
288,control,10,1,151.6,0,3.0
288,control,13,1,146.8,0,5.0
289,control,7,0,0.0,0,
289,control,18,0,0.0,0,
289,control,1,1,188.8,0,4.0
290,treatment,5,0,0.0,0,
291,control,4,0,0.0,1,
292,control,1,0,0.0,0,
293,control,18,1,84.1,0,1.0
294,treatment,9,1,186.2,0,2.0
294,treatment,14,0,0.0,0,
295,treatment,9,0,0.0,0,
295,treatment,21,1,41.2,0,1.0
296,treatment,7,1,203.0,0,4.0
297,treatment,14,1,202.7,0,5.0
297,treatment,17,0,0.0,0,
297,treatment,20,0,0.0,1,
298,control,4,1,49.9,1,2.0
298,control,4,1,162.6,1,3.0
299,control,5,0,0.0,1,
299,control,12,0,0.0,1,
299,control,6,1,238.4,0,2.0
300,treatment,11,0,0.0,0,
300,treatment,16,1,232.3,0,2.0
300,treatment,17,1,101.4,1,2.0
301,control,9,1,116.9,1,4.0
301,control,18,1,121.5,0,3.0
302,control,8,0,0.0,1,
302,control,1,1,220.4,1,4.0
302,control,16,1,175.3,0,4.0
303,control,16,0,0.0,0,
303,control,17,1,225.3,1,1.0
304,treatment,12,1,188.3,0,4.0
305,treatment,18,0,0.0,1,
306,control,17,1,267.4,1,4.0
307,treatment,7,1,146.8,0,1.0
307,treatment,16,1,189.2,0,1.0
307,treatment,17,1,143.0,0,1.0
308,treatment,11,0,0.0,1,
309,treatment,12,0,0.0,0,
310,treatment,9,0,0.0,0,
311,treatment,5,1,118.6,0,2.0
311,treatment,19,0,0.0,0,
311,treatment,16,1,141.0,0,5.0
312,control,4,1,181.7,1,5.0
312,control,13,0,0.0,1,
313,treatment,7,0,0.0,0,
313,treatment,3,1,225.7,0,1.0
313,treatment,1,0,0.0,0,
314,control,19,1,199.6,0,1.0
314,control,11,0,0.0,1,
314,control,4,0,0.0,1,
315,control,5,0,0.0,0,
316,treatment,20,1,179.4,0,1.0
316,treatment,13,1,166.7,0,1.0
316,treatment,16,1,206.4,0,2.0
317,control,18,0,0.0,0,
317,control,16,1,101.9,0,1.0
317,control,11,1,232.7,0,5.0
318,control,2,0,0.0,0,
319,control,19,1,139.9,0,2.0
320,treatment,19,1,109.6,0,1.0
321,treatment,4,1,201.3,0,1.0
322,control,1,1,164.7,0,2.0
322,control,16,1,155.4,0,1.0
323,treatment,7,0,0.0,0,
324,treatment,19,1,181.9,0,1.0
324,treatment,16,0,0.0,0,
324,treatment,10,1,289.0,1,4.0
325,treatment,10,1,51.7,1,1.0
326,treatment,19,1,171.2,1,2.0
327,control,20,0,0.0,0,
327,control,6,0,0.0,0,
327,control,1,0,0.0,0,
328,control,10,0,0.0,0,
329,treatment,18,1,91.1,0,1.0
330,treatment,7,0,0.0,0,
331,control,17,1,127.4,1,2.0
331,control,3,1,140.3,0,1.0
332,control,4,0,0.0,0,
332,control,15,0,0.0,0,
333,treatment,17,1,206.3,0,1.0
333,treatment,13,1,258.9,0,3.0
334,control,7,1,141.3,0,2.0
334,control,7,1,147.6,0,2.0
335,treatment,8,1,66.5,0,1.0
336,treatment,12,1,110.9,0,5.0
336,treatment,9,1,152.7,1,1.0
337,control,8,1,287.5,1,1.0
338,control,20,0,0.0,1,
339,treatment,17,1,292.0,0,1.0
339,treatment,3,1,83.7,0,1.0
340,treatment,3,1,124.4,0,3.0
341,control,6,0,0.0,0,
342,treatment,10,1,222.0,0,1.0
342,treatment,16,0,0.0,0,
342,treatment,15,0,0.0,0,
343,control,3,0,0.0,1,
343,control,17,0,0.0,1,
343,control,13,0,0.0,0,
344,treatment,7,0,0.0,0,
345,control,19,0,0.0,0,
345,control,18,1,195.7,1,1.0
345,control,14,1,146.2,0,1.0
346,control,6,1,118.3,0,2.0
347,control,9,0,0.0,0,
347,control,12,1,76.4,0,1.0
348,treatment,6,0,0.0,0,
348,treatment,2,0,0.0,1,
348,treatment,11,1,258.0,1,1.0
349,treatment,4,0,0.0,0,
349,treatment,19,0,0.0,1,
349,treatment,19,1,165.6,0,1.0
350,control,15,1,190.2,0,3.0
351,treatment,8,1,58.5,1,1.0
351,treatment,8,0,0.0,0,
351,treatment,21,1,168.2,0,1.0
352,control,3,0,0.0,0,
352,control,18,0,0.0,1,
353,control,11,0,0.0,1,
353,control,20,1,201.7,0,4.0
354,treatment,13,1,115.2,0,1.0
355,treatment,6,0,0.0,0,
355,treatment,21,1,132.9,0,1.0
356,control,14,0,0.0,0,
356,control,8,1,77.9,0,2.0
356,control,19,0,0.0,0,
357,treatment,21,1,221.5,0,5.0
357,treatment,17,1,153.3,1,4.0
357,treatment,19,1,198.0,0,4.0
358,treatment,19,1,145.4,1,2.0
358,treatment,13,0,0.0,0,
358,treatment,8,1,346.8,0,1.0
359,control,15,0,0.0,1,
359,control,9,0,0.0,0,
360,control,20,1,87.7,0,2.0
361,treatment,2,0,0.0,1,
361,treatment,2,0,0.0,0,
362,control,17,1,179.7,0,2.0
362,control,6,0,0.0,1,
363,control,13,0,0.0,0,
363,control,6,0,0.0,0,
364,treatment,20,1,198.0,0,1.0
364,treatment,20,0,0.0,1,
364,treatment,14,1,175.2,0,2.0
365,control,14,0,0.0,1,
365,control,10,1,180.5,0,1.0
366,control,9,0,0.0,0,
366,control,16,0,0.0,0,
366,control,11,1,147.7,0,1.0
367,treatment,4,1,173.2,1,2.0
368,treatment,5,0,0.0,0,
369,control,4,1,100.4,1,2.0
369,control,19,0,0.0,0,
369,control,5,0,0.0,0,
370,control,15,0,0.0,0,
370,control,4,0,0.0,1,
370,control,19,0,0.0,1,
371,treatment,11,0,0.0,0,
371,treatment,19,1,278.9,0,1.0
372,treatment,7,1,172.6,1,2.0
372,treatment,18,1,185.7,0,2.0
372,treatment,6,0,0.0,0,
373,treatment,21,1,155.9,0,1.0
373,treatment,10,1,223.3,0,1.0
373,treatment,10,1,204.6,0,1.0
374,treatment,16,0,0.0,0,
374,treatment,16,1,134.0,0,1.0
375,control,5,0,0.0,1,
375,control,14,0,0.0,1,
376,treatment,2,0,0.0,1,
377,treatment,16,1,55.7,0,2.0
377,treatment,15,1,239.6,0,4.0
377,treatment,2,1,162.9,0,1.0
378,control,15,1,195.2,0,1.0
378,control,21,1,106.5,0,1.0
378,control,5,0,0.0,0,
379,treatment,17,1,160.3,0,2.0
379,treatment,15,0,0.0,0,
379,treatment,5,1,257.5,1,2.0
380,control,20,0,0.0,1,
380,control,16,0,0.0,1,
381,treatment,8,0,0.0,0,
382,treatment,12,1,150.9,1,1.0
382,treatment,7,0,0.0,0,
382,treatment,9,0,0.0,0,
383,treatment,11,1,215.4,0,1.0
383,treatment,17,1,332.4,0,1.0
384,control,7,1,203.7,1,2.0
385,control,10,0,0.0,0,
385,control,10,0,0.0,1,
386,treatment,5,0,0.0,1,
387,control,8,1,45.6,0,1.0
387,control,10,0,0.0,1,
387,control,15,0,0.0,0,
388,control,6,1,194.7,0,5.0
388,control,13,1,189.3,1,5.0
389,control,12,0,0.0,0,
389,control,8,1,94.1,1,3.0
389,control,21,1,190.9,0,3.0
390,control,5,1,235.1,0,5.0
390,control,11,0,0.0,0,
391,control,11,0,0.0,0,
391,control,16,0,0.0,1,
392,control,16,1,129.7,0,2.0
392,control,12,0,0.0,1,
392,control,20,1,67.1,0,1.0
393,treatment,6,1,193.3,1,3.0
394,treatment,5,1,161.5,1,2.0
394,treatment,19,1,272.7,0,1.0
395,control,18,1,81.5,0,2.0
395,control,8,0,0.0,0,
